Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
16-Jul-2019,100.50,-0.55,-0.55%,100.53,100.06,101.32,"52,363,960","5,272,224,213.03","321,957,557,238.76"
15-Jul-2019,101.05,+0.50,+0.50%,101.07,100.08,101.15,"59,626,860","6,003,579,213.09","327,229,781,451.80"
12-Jul-2019,100.55,+0.50,+0.50%,100.41,100.19,100.85,"50,185,940","5,045,735,626.47","321,226,202,238.71"
11-Jul-2019,100.05,-0.82,-0.81%,101.28,99.77,101.79,"86,355,320","8,719,519,475.75","316,180,466,612.24"
10-Jul-2019,100.87,+1.46,+1.46%,99.83,99.77,101.25,"98,638,040","9,928,832,704.18","324,899,986,087.99"
09-Jul-2019,99.42,+1.80,+1.84%,97.39,97.17,99.50,"86,913,960","8,586,754,035.53","314,971,153,383.81"
08-Jul-2019,97.62,+0.47,+0.48%,96.71,96.41,97.80,"57,667,420","5,607,463,570.00","306,384,399,348.28"
05-Jul-2019,97.15,+0.20,+0.20%,96.43,96.27,97.30,"52,567,180","5,090,413,574.08","300,776,935,778.28"
03-Jul-2019,96.95,+0.23,+0.24%,96.79,96.53,97.08,"33,805,880","3,276,249,279.71","295,686,522,204.20"
02-Jul-2019,96.72,+0.61,+0.63%,95.97,95.33,96.74,"53,025,980","5,087,927,976.24","292,410,272,924.48"
01-Jul-2019,96.11,+1.43,+1.51%,96.15,95.73,96.49,"64,066,940","6,157,985,669.74","287,322,344,948.24"
28-Jun-2019,94.68,-0.53,-0.56%,95.46,94.20,95.65,"60,747,160","5,755,416,150.29","281,164,359,278.50"
27-Jun-2019,95.21,+0.32,+0.34%,95.10,94.90,95.56,"42,834,420","4,082,263,845.49","286,919,775,428.79"
26-Jun-2019,94.89,+0.98,+1.04%,94.62,94.37,95.19,"48,838,200","4,631,260,497.77","282,837,511,583.30"
25-Jun-2019,93.91,-1.78,-1.86%,95.59,93.62,95.82,"60,246,940","5,692,319,253.86","278,206,251,085.53"
24-Jun-2019,95.70,+0.13,+0.14%,95.63,95.07,95.84,"45,659,380","4,361,248,108.84","283,898,570,339.39"
21-Jun-2019,95.57,-0.34,-0.36%,95.81,95.38,96.30,"78,671,520","7,532,566,047.48","279,537,322,230.55"
20-Jun-2019,95.91,+0.47,+0.49%,96.67,95.29,96.76,"64,343,060","6,180,077,435.47","287,069,888,278.03"
19-Jun-2019,95.44,+0.37,+0.39%,95.39,94.62,95.98,"57,906,940","5,516,199,016.01","280,889,810,842.56"
18-Jun-2019,95.07,+0.77,+0.81%,95.07,94.99,96.08,"77,914,560","7,439,731,456.34","275,373,611,826.55"
17-Jun-2019,94.30,+0.82,+0.88%,93.83,93.77,94.78,"52,686,840","4,969,338,849.55","267,933,880,370.21"
14-Jun-2019,93.48,-0.03,-0.03%,93.20,92.95,93.80,"57,023,260","5,329,801,360.03","262,964,541,520.66"
13-Jun-2019,93.52,+0.75,+0.81%,93.34,93.11,94.15,"55,916,200","5,233,445,481.56","268,294,342,880.68"
12-Jun-2019,92.77,-0.42,-0.45%,92.70,92.22,93.25,"53,566,700","4,971,652,166.39","263,060,897,399.13"
11-Jun-2019,93.19,+0.15,+0.16%,94.16,92.90,94.69,"80,853,880","7,571,279,278.31","268,032,549,565.52"
10-Jun-2019,93.03,+2.83,+3.14%,91.10,90.90,94.24,"107,420,140","10,001,499,406.31","260,461,270,287.20"
07-Jun-2019,90.20,+2.48,+2.83%,88.19,87.97,90.31,"96,164,920","8,626,102,577.94","250,459,770,880.89"
06-Jun-2019,87.72,+0.79,+0.91%,86.89,86.31,88.00,"73,785,440","6,427,544,925.29","241,833,668,302.95"
05-Jun-2019,86.93,+0.45,+0.52%,87.48,85.76,87.60,"84,795,640","7,347,505,845.60","235,406,123,377.67"
04-Jun-2019,86.48,+1.84,+2.18%,84.96,84.04,86.54,"113,582,420","9,720,123,032.93","228,058,617,532.07"
03-Jun-2019,84.63,-4.12,-4.64%,88.00,83.60,88.31,"181,974,160","15,512,950,755.78","218,338,494,499.14"
31-May-2019,88.75,-2.06,-2.27%,89.50,88.64,89.78,"92,376,380","8,234,890,591.23","233,851,445,254.92"
30-May-2019,90.82,-0.14,-0.16%,91.27,90.39,91.47,"62,937,000","5,723,466,834.79","242,086,335,846.15"
29-May-2019,90.96,-0.86,-0.94%,91.16,90.38,91.50,"85,580,500","7,778,088,124.96","247,809,802,680.94"
28-May-2019,91.82,+0.66,+0.72%,91.64,91.37,92.46,"63,999,300","5,887,843,323.91","255,587,890,805.90"
24-May-2019,91.16,+0.39,+0.43%,91.79,90.89,92.09,"67,393,460","6,162,311,425.37","249,700,047,481.99"
23-May-2019,90.77,-2.21,-2.38%,91.83,90.21,92.20,"88,485,300","8,051,699,316.26","243,537,736,056.63"
22-May-2019,92.98,+0.11,+0.12%,92.59,92.55,93.57,"58,732,020","5,468,710,349.29","251,589,435,372.89"
21-May-2019,92.88,-0.07,-0.08%,93.74,92.30,93.95,"80,102,440","7,449,084,285.22","246,120,725,023.60"
20-May-2019,92.95,-0.50,-0.54%,92.63,91.78,93.39,"75,963,960","7,047,102,955.99","253,569,809,308.82"
17-May-2019,93.45,-1.93,-2.02%,94.65,93.37,95.53,"94,732,360","8,949,491,974.63","260,616,912,264.81"
16-May-2019,95.38,+1.82,+1.95%,94.30,94.11,95.88,"94,156,440","8,972,810,078.87","269,566,404,239.43"
15-May-2019,93.56,+1.55,+1.69%,91.40,91.15,93.72,"93,852,840","8,698,910,929.39","260,593,594,160.56"
14-May-2019,92.01,+0.87,+0.96%,91.98,90.79,92.62,"92,582,140","8,514,426,838.23","251,894,683,231.17"
13-May-2019,91.13,-3.36,-3.56%,91.83,90.90,92.33,"115,668,200","10,579,434,241.99","243,380,256,392.94"
10-May-2019,94.50,-0.49,-0.52%,94.90,92.80,95.19,"114,359,880","10,749,820,229.89","253,959,690,634.93"
09-May-2019,94.99,-0.89,-0.93%,95.00,93.80,95.47,"106,165,260","10,051,971,912.93","264,709,510,864.82"
08-May-2019,95.89,-0.16,-0.17%,95.94,95.50,96.77,"81,571,360","7,849,066,995.83","274,761,482,777.75"
07-May-2019,96.05,-1.48,-1.51%,97.00,95.17,97.46,"118,042,680","11,342,405,652.53","282,610,549,773.57"
06-May-2019,97.53,-0.60,-0.61%,95.90,95.53,97.95,"108,356,820","10,518,248,495.83","293,952,955,426.10"
03-May-2019,98.12,+3.08,+3.24%,97.45,96.80,98.22,"127,631,280","12,480,424,765.76","304,471,203,921.93"
02-May-2019,95.04,-0.53,-0.56%,95.67,94.09,96.08,"79,258,300","7,528,751,166.43","291,990,779,156.17"
01-May-2019,95.58,-0.75,-0.78%,96.65,95.53,97.18,"62,339,280","6,020,471,177.15","299,519,530,322.60"
30-Apr-2019,96.33,-0.60,-0.61%,96.51,95.35,96.79,"70,120,140","6,744,024,874.48","305,540,001,499.75"
29-Apr-2019,96.92,-0.61,-0.63%,97.45,96.70,97.82,"80,425,100","7,816,311,478.44","312,284,026,374.22"
26-Apr-2019,97.53,+2.42,+2.54%,96.45,94.90,97.55,"168,651,260","16,265,672,379.98","320,100,337,852.66"
25-Apr-2019,95.11,+0.02,+0.03%,95.85,95.02,96.12,"121,982,020","11,677,240,131.53","303,834,665,472.68"
24-Apr-2019,95.09,-1.10,-1.14%,96.25,94.91,96.48,"73,515,620","7,034,496,078.31","292,157,425,341.15"
23-Apr-2019,96.19,+1.82,+1.93%,94.56,94.48,96.46,"92,808,820","8,891,536,593.82","299,191,921,419.47"
22-Apr-2019,94.37,+1.28,+1.38%,92.77,92.28,94.42,"67,476,140","6,324,473,662.78","290,300,384,825.65"
18-Apr-2019,93.08,-0.16,-0.17%,93.44,92.97,93.54,"54,997,640","5,125,967,550.85","283,975,911,162.86"
17-Apr-2019,93.24,+0.09,+0.10%,93.65,93.02,93.82,"57,870,340","5,402,577,772.70","289,101,878,713.71"
16-Apr-2019,93.15,+0.91,+0.98%,92.57,92.40,93.49,"60,892,360","5,664,463,162.74","283,699,300,941.01"
15-Apr-2019,92.24,+0.09,+0.10%,92.10,90.95,92.34,"74,488,460","6,838,006,741.94","278,034,837,778.27"
12-Apr-2019,92.15,-0.05,-0.05%,92.42,92.07,92.58,"62,288,260","5,749,631,466.20","271,196,831,036.33"
11-Apr-2019,92.20,-0.16,-0.18%,92.44,92.02,92.50,"53,096,840","4,897,732,592.76","276,946,462,502.53"
10-Apr-2019,92.37,+0.57,+0.63%,92.05,91.44,92.40,"59,279,460","5,456,977,510.66","281,844,195,095.29"
09-Apr-2019,91.79,-0.70,-0.76%,92.27,91.59,92.65,"74,287,360","6,846,321,426.37","276,387,217,584.64"
08-Apr-2019,92.49,+0.63,+0.68%,91.66,91.26,92.51,"75,056,820","6,896,689,727.07","283,233,539,011.01"
05-Apr-2019,91.86,+0.92,+1.01%,91.45,91.26,91.93,"72,809,520","6,673,281,079.09","276,336,849,283.93"
