Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
20-Apr-2021,151.71,-1.91,-1.24%,153.23,149.63,154.97,"33,413,304","5,069,191,173.97","317,590,699,069.06"
19-Apr-2021,153.62,-5.51,-3.46%,155.37,152.33,158.08,"40,441,808","6,255,062,839.87","322,659,890,243.04"
16-Apr-2021,159.13,-2.25,-1.39%,160.53,158.65,161.66,"33,520,756","5,353,860,438.49","328,914,953,082.91"
15-Apr-2021,161.37,+8.60,+5.63%,156.63,156.32,162.14,"59,848,068","9,591,854,049.54","334,268,813,521.40"
14-Apr-2021,152.77,-4.02,-2.57%,156.25,152.28,157.20,"38,550,192","5,958,869,041.14","324,676,959,471.86"
13-Apr-2021,156.80,+4.70,+3.09%,152.32,151.26,157.00,"67,621,188","10,487,307,336.03","330,635,828,513.00"
12-Apr-2021,152.09,+8.09,+5.62%,142.90,141.39,153.53,"86,932,200","12,987,519,989.58","320,148,521,176.97"
09-Apr-2021,144.00,+0.83,+0.58%,142.14,141.75,144.08,"19,517,088","2,796,285,573.48","307,161,001,187.39"
08-Apr-2021,143.17,+1.73,+1.23%,142.53,142.49,144.72,"24,441,492","3,506,093,858.62","304,364,715,613.91"
07-Apr-2021,141.44,+2.82,+2.03%,138.81,137.12,142.43,"25,128,436","3,535,384,250.90","300,858,621,755.30"
06-Apr-2021,138.62,-1.26,-0.90%,140.00,137.74,140.54,"19,174,596","2,668,939,036.12","297,323,237,504.39"
05-Apr-2021,139.88,+1.76,+1.27%,138.68,137.33,140.14,"25,567,140","3,556,502,950.23","299,992,176,540.51"
01-Apr-2021,138.12,+4.64,+3.47%,135.72,135.11,138.70,"30,827,460","4,233,564,689.95","296,435,673,590.28"
31-Mar-2021,133.48,+4.76,+3.70%,130.16,129.83,134.71,"31,477,752","4,194,394,616.03","292,202,108,900.33"
30-Mar-2021,128.72,-0.76,-0.59%,128.42,127.05,129.75,"20,020,248","2,573,125,629.87","288,007,714,284.30"
29-Mar-2021,129.48,+1.09,+0.85%,128.20,127.00,130.63,"27,351,988","3,527,098,280.48","290,580,839,914.17"
26-Mar-2021,128.39,+3.04,+2.43%,125.55,123.74,128.56,"36,396,896","4,590,763,340.79","287,053,741,633.69"
25-Mar-2021,125.35,-1.08,-0.85%,125.00,122.72,127.15,"29,514,456","3,685,405,051.54","282,462,978,292.90"
